# Created by Octave 4.2.0, Sun Feb 12 12:20:49 2023 CET <marcos@encina>
# name: X230410g
# type: matrix
# rows: 539
# columns: 2
 197801 28232
 197802 30338
 197803 36084
 197804 29885
 197805 34039
 197806 31709
 197807 35480
 197808 25906
 197809 21487
 197810 29394
 197811 27718
 197812 30863
 197901 27812
 197902 32390
 197903 38389
 197904 34091
 197905 33321
 197906 30235
 197907 38691
 197908 24349
 197909 26487
 197910 33913
 197911 27048
 197912 33507
 198001 27719
 198002 24213
 198003 24869
 198004 25450
 198005 24312
 198006 25101
 198007 34902
 198008 14266
 198009 20527
 198010 24405
 198011 18798
 198012 24189
 198101 21430
 198102 22723
 198103 24616
 198104 24214
 198105 21505
 198106 23705
 198107 35881
 198108 16067
 198109 20112
 198110 20264
 198111 22041
 198112 28443
 198201 19038
 198202 19880
 198203 26879
 198204 22758
 198205 26411
 198206 24152
 198207 27545
 198208 13386
 198209 19275
 198210 15917
 198211 20180
 198212 20312
 198301 30632
 198302 21867
 198303 23764
 198304 21939
 198305 24746
 198306 21587
 198307 21141
 198308 11270
 198309 17816
 198310 18386
 198311 22581
 198312 21897
 198401 19442
 198402 22073
 198403 22653
 198404 19215
 198405 21587
 198406 18790
 198407 22156
 198408 13114
 198409 12192
 198410 20022
 198411 17174
 198412 17692
 198501 19567
 198502 19080
 198503 18158
 198504 20250
 198505 19898
 198506 18759
 198507 26476
 198508 10866
 198509 14615
 198510 19515
 198511 23026
 198512 33747
 198601 14741
 198602 17187
 198603 18076
 198604 21627
 198605 21332
 198606 22074
 198607 27871
 198608 16551
 198609 18169
 198610 19594
 198611 20377
 198612 26763
 198701 20157
 198702 26382
 198703 33615
 198704 27580
 198705 35231
 198706 32552
 198707 39809
 198708 17145
 198709 27071
 198710 35003
 198711 27488
 198712 36713
 198801 25240
 198802 32201
 198803 33780
 198804 34166
 198805 35736
 198806 32162
 198807 46362
 198808 23398
 198809 28772
 198810 29806
 198811 31112
 198812 43728
 198901 32399
 198902 32386
 198903 35544
 198904 37656
 198905 39719
 198906 39787
 198907 40231
 198908 25007
 198909 26483
 198910 27580
 198911 30426
 198912 34474
 199001 24004
 199002 26615
 199003 28045
 199004 23950
 199005 28664
 199006 27865
 199007 34861
 199008 14374
 199009 17795
 199010 21415
 199011 19557
 199012 18034
 199101 20872
 199102 21378
 199103 19988
 199104 26971
 199105 22884
 199106 25817
 199107 26959
 199108 14005
 199109 18818
 199110 20066
 199111 20024.0507812501
 199112 19889.7011718751
 199201 15451
 199202 18715
 199203 20961
 199204 19930
 199205 21130
 199206 22963
 199207 27215
 199208 9287
 199209 16003
 199210 15739
 199211 17264
 199212 16402
 199301 15115
 199302 20209
