# Created by Octave 4.2.0, Tue Feb 11 11:56:58 2020 CET <marcos@encina>
# name: X232020e
# type: matrix
# rows: 459
# columns: 2
 198001 16945
 198002 20156
 198003 22882
 198004 24481
 198005 24549
 198006 24323
 198007 24960
 198008 10989
 198009 22933
 198010 26387
 198011 22620
 198012 17404
 198101 18150
 198102 22280
 198103 23190
 198104 17460
 198105 24310
 198106 23370
 198107 21890
 198108 11680
 198109 24880
 198110 21740
 198111 22850
 198112 18220
 198201 16410
 198202 20560
 198203 19580
 198204 16190
 198205 19280
 198206 17410
 198207 15810
 198208 12450
 198209 21240
 198210 18460
 198211 17780
 198212 32400
 198301 19050
 198302 17260
 198303 19910
 198304 22300
 198305 18630
 198306 19220
 198307 15530
 198308 12940
 198309 16290
 198310 20690
 198311 19220
 198312 32470
 198401 15560
 198402 16590
 198403 16830
 198404 15620
 198405 16710
 198406 14420
 198407 12950
 198408 11910
 198409 12040
 198410 15750
 198411 15650
 198412 38040
 198501 17033
 198502 13818
 198503 15584
 198504 14231
 198505 17962
 198506 32758
 198507 16934
 198508 14132
 198509 18512
 198510 20970
 198511 18569
 198512 21780
 198601 12918
 198602 14995
 198603 17096
 198604 17977
 198605 21004
 198606 20360
 198607 19605
 198608 14314
 198609 16496
 198610 21248
 198611 21161
 198612 17460
 198701 17385
 198702 18352
 198703 22266
 198704 18631
 198705 22354
 198706 21697
 198707 25627
 198708 17527
 198709 23161
 198710 22149
 198711 21704
 198712 20267
 198801 18882
 198802 22131
 198803 21720
 198804 20879
 198805 24043
 198806 17720
 198807 21020
 198808 22779
 198809 24978
 198810 25946
 198811 22222
 198812 28319
 198901 22621
 198902 23712
 198903 23833
 198904 27532
 198905 23367
 198906 23348
 198907 25343
 198908 21245
 198909 23378
 198910 29876
 198911 19107
 198912 22017
 199001 18937
 199002 22896
 199003 20689
 199004 16381
 199005 19575
 199006 21016
 199007 18548
 199008 18375
 199009 21552
 199010 28134
 199011 16098
 199012 17190
 199101 16134
 199102 15963
 199103 15850
 199104 18907
 199105 17305
 199106 16212
 199107 20417
 199108 16933
 199109 17820
 199110 20595
 199111 12704
 199112 15016
 199201 14291
 199202 14900
 199203 16437
 199204 14589
 199205 17245
 199206 17876
