# Created by Octave 4.2.0, Sun Feb 12 12:20:49 2023 CET <marcos@encina>
# name: X247000
# type: matrix
# rows: 336
# columns: 2
 199501 2698.172
 199502 2821.543
 199503 3310.265
 199504 4587.267
 199505 4517.059
 199506 4898.514
 199507 7549.733
 199508 8088.834
 199509 5343.821
 199510 4296.969
 199511 2948.808
 199512 3347.915
 199601 2691.102
 199602 2883.638
 199603 3813.744
 199604 4580.32
 199605 4890.635
 199606 5185.247
 199607 7463.75
 199608 8837.309999999999
 199609 5473.765
 199610 4581.608
 199611 3302.691
 199612 3566.724
 199701 2967.265
 199702 3205.276
 199703 4388.596
 199704 4674.825
 199705 5705.881
 199706 5492.329
 199707 8171.394
 199708 9569.103999999999
 199709 6049.679
 199710 4912.89
 199711 3461.189
 199712 3816.549
 199801 3372.715
 199802 3506.567
 199803 4124.484
 199804 5373.194
 199805 6294.574
 199806 5983.622
 199807 8696.716
 199808 10482.213
 199809 6498.5
 199810 5649.073
 199811 3856.185
 199812 4229.97
 199901 3619.99
 199902 3743.994
 199903 4614.593
 199904 5606.149
 199905 6533.524
 199906 6247.002
 199907 9514.486999999999
 199908 10487.248
 199909 6869.267
 199910 6288.435
 199911 4211.838
 199912 4303.017
 200001 3636.99
 200002 3943.756
 200003 4829.247
 200004 6543.069
 200005 6172.366
 200006 6709.694
 200007 9570.079
 200008 10390.632
 200009 7689.176
 200010 6221.52
 200011 4294.388
 200012 4578.631
 200101 3913.049
 200102 4088.084
 200103 4902.095
 200104 6568.109
 200105 6395.155
 200106 6944.046
 200107 9622.870999999999
 200108 10837.053
 200109 7495.37
 200110 5977.474
 200111 4169.045
 200112 4651.218
 200201 3910.848
 200202 4416.137
 200203 5755.457
 200204 5974.028
 200205 6693.403
 200206 7116.235
 200207 9797.440000000001
 200208 12076.085
 200209 7555.208
 200210 6482.625
 200211 4657.194
 200212 4878.666
 200301 4302.351
 200302 4414.853
 200303 5504.991
 200304 6712.748
 200305 7306.858
 200306 7500.685
 200307 10124.423
 200308 11927.063
 200309 7699.987
 200310 6759.4
 200311 4821.151
 200312 5251.64
 200401 4717.713
 200402 5140.922
 200403 5518.973
 200404 6996.441
 200405 7534.923
 200406 7358.997
 200407 10506.95
 200408 11857.706
 200409 8039.857
 200410 7445.66
 200411 5142.715
 200412 5720.468
 200501 4966.831
 200502 5212.047
 200503 6497.405
 200504 6974.533
 200505 8102.134
 200506 8179.314
 200507 11642.687
 200508 12632.862
 200509 9003.534
 200510 7826.872
 200511 5474.017
 200512 6050.936
 200601 5208.185
 200602 5589.795
 200603 6578.261
 200604 8123.048
 200605 8717.288
 200606 8266.307000000001
 200607 11514.708
 200608 12865.867
 200609 9262.207
 200610 8045.305
 200611 5672.831
 200612 6308.407
 200701 5426.81
 200702 5637.735
 200703 6992.793
 200704 8026.358
 200705 8414.111999999999
 200706 8858.161
 200707 12058.848
 200708 13495.651
 200709 9617.843000000001
 200710 8145.375
 200711 5956.512
 200712 6276.428
 200801 5470.033
 200802 5968.179
 200803 7454.434
 200804 7805.326
 200805 9228.245999999999
 200806 8990.264999999999
 200807 11527.283
 200808 13441.213
 200809 9005.886
 200810 7668.812
 200811 5484.108
 200812 5626.006
 200901 5157.37
 200902 5279.683
 200903 6160.687
 200904 7588.119
 200905 8217.241
 200906 8161.628
 200907 11195.956
 200908 12857.148
 200909 8325.056
 200910 7803.085
 200911 5477.821
 200912 5675.403
 201001 5291.314
 201002 5263.801
 201003 6658.639
 201004 7179.332
 201005 8115.122
 201006 8526.007
 201007 11531.42
 201008 13201.034
 201009 8994.839
 201010 8086.097
 201011 5498.174
 201012 5398.398
 201101 5598.89
 201102 5525.946
 201103 6620.174
 201104 8152.499
 201105 8499.116
 201106 9418.589
 201107 12233.212
 201108 13778.166
 201109 9707.072
 201110 8605.168
 201111 5568.742
 201112 5479.565
 201201 5526.719
 201202 5357.807
 201203 6551.836
 201204 7673.314
 201205 8486.474
 201206 9184.733
 201207 12256.97
 201208 13950.584
 201209 9977.987999999999
 201210 8239.591
 201211 5509.467
 201212 5412.598
 201301 5286.152
 201302 5265.637
 201303 7111.499
 201304 7964.817
 201305 9306.253000000001
 201306 9650.91
 201307 12539.97
 201308 14665.041
 201309 10497.116
 201310 8893.232
 201311 6048.437
 201312 6001.746
 201401 5641.742
 201402 5691.232
 201403 6935.858
 201404 8794.467000000001
 201405 9449.601000000001
 201406 9983.968000000001
 201407 12799.698
 201408 15251.68
 201409 10826.185
 201410 9447.791294000001
 201411 6160.417745
 201412 6184.483955
 201501 5897.988268
 201502 5863.200225
 201503 6950.526411
 201504 8788.387556
 201505 10075.7676
 201506 10164.46038
 201507 13208.73546
 201508 15319.66576
 201509 10477.32924
 201510 9940.966
 201511 6429.628
 201512 6417.639
 201601 6133.318
 201602 6254.862
 201603 7684.502
 201604 9254.451999999999
 201605 10409.297
 201606 10882.964
 201607 14103.246
 201608 15765.727
 201609 11331.574
 201610 10238.948
 201611 6623.135
 201612 6879.053
 201701 6200.774
 201702 6600.345
 201703 7552.469
 201704 10660.952
 201705 11438.274
 201706 11485.278
 201707 15121.496
 201708 15835.528
 201709 12374.962
 201710 10535.814
 201711 6973.62
 201712 6937.773
 201801 6489.874
 201802 6615.762
 201803 8326.309999999999
 201804 10301.539
 201805 11624.018
 201806 11780.733
 201807 14766.107
 201808 16121.776
 201809 12803.621
 201810 11153.466
 201811 7241.009
 201812 7231.453
 201901 6784.666
 201902 6984.74
 201903 8643.169
 201904 10721.891
 201905 11363.709
 201906 12305.955
 201907 14534.938
 201908 16155.889
 201909 12698.879
 201910 11034.547
 201911 7606.142
 201912 7335.56
 202001 6857.79
 202002 7174.414
 202003 3332.035
 202004 0.01
 202005 0.01
 202006 656.181
 202007 4763.482
 202008 5354.768
