# Created by Octave 4.2.0, Thu Feb 18 14:32:49 2021 CET <marcos@encina>
# name: X330000
# type: matrix
# rows: 416
# columns: 2
 198606 -7.3
 198607 -7.7
 198608 -8
 198609 -7.8
 198610 -8.1
 198611 -6.7
 198612 -8.5
 198701 -7.9
 198702 -8
 198703 -8.800000000000001
 198704 -8.300000000000001
 198705 -9.1
 198706 -8.4
 198707 -6.7
 198708 -7
 198709 -5
 198710 -5.9
 198711 -7.2
 198712 -7.8
 198801 -6.1
 198802 -5.1
 198803 -3.9
 198804 -2.7
 198805 -3.4
 198806 -5.7
 198807 -4.9
 198808 -4.1
 198809 -4.2
 198810 -3.9
 198811 -4.5
 198812 -3.9
 198901 -3
 198902 -5
 198903 -4.8
 198904 -4.8
 198905 -3.9
 198906 -2.8
 198907 -5
 198908 -4.6
 198909 -5.1
 198910 -3.3
 198911 -3.2
 198912 -0.8
 199001 -3.9
 199002 -3.1
 199003 -5.1
 199004 -6.1
 199005 -6
 199006 -5.9
 199007 -4
 199008 -5.3
 199009 -14.2
 199010 -12.7
 199011 -9.9
 199012 -7.7
 199101 -13.2
 199102 -8.800000000000001
 199103 -4.5
 199104 -8.5
 199105 -5.2
 199106 -6.4
 199107 -7.2
 199108 -10.4
 199109 -5.5
 199110 -7.6
 199111 -8.1
 199112 -12.8
 199201 -11.1
 199202 -9.9
 199203 -13
 199204 -12.6
 199205 -14.4
 199206 -14.7
 199207 -17.1
 199208 -25.4
 199209 -22.3
 199210 -24.7
 199211 -24.7
 199212 -26.5
 199301 -22.8
 199302 -25
 199303 -26.7
 199304 -21.3
 199305 -19.5
 199306 -26.5
 199307 -23.5
 199308 -28.4
 199309 -23.6
 199310 -25.3
 199311 -27.7
 199312 -25.6
 199401 -25.5
 199402 -23.1
 199403 -23.8
 199404 -22.3
 199405 -20.9
 199406 -18.3
 199407 -17.1
 199408 -11.5
 199409 -9.300000000000001
 199410 -11.6
 199411 -8.9
 199412 -8.9
 199501 -10.7
 199502 -13.3
 199503 -14.7
 199504 -14.1
 199505 -15.8
 199506 -16.6
 199507 -17.6
 199508 -12.7
 199509 -13.3
 199510 -14.1
 199511 -12.8
 199512 -12.4
 199601 -8.1
 199602 -10.9
 199603 -8.9
 199604 -11.3
 199605 -12.6
 199606 -11.2
 199607 -14.3
 199608 -11.5
 199609 -14.6
 199610 -10.4
 199611 -11
 199612 -8.699999999999999
 199701 -4.7
 199702 -7.9
 199703 -6.8
 199704 -6.9
 199705 -7.8
 199706 -2.7
 199707 -3.4
 199708 -1.1
 199709 -4.4
 199710 -3.2
 199711 -2.6
 199712 -3.2
 199801 -2.6
 199802 -1.8
 199803 -1.3
 199804 -2.1
 199805 -1.6
 199806 -1.6
 199807 -1.3
 199808 -0.6
 199809 -0.2
 199810 1.5
 199811 1.8
 199812 0.9
 199901 -0.3
 199902 -0.1
 199903 0
 199904 -0.8
 199905 -1.6
 199906 -0.9
 199907 0.3
 199908 0
 199909 -0.1
 199910 2.5
 199911 2
 199912 -1
 200001 -0.8
 200002 1.5
 200003 2.4
 200004 2.5
 200005 0.3
 200006 -1
 200007 0.2
 200008 -0.2
 200009 -2.3
 200010 -3.2
 200011 -0.9
