#CONSUMO PRIVADO, PRECIOS CONSTANTES#
#INDICADORES MENSUALES DE CONSUMO PRIVADO#	
#AGREGADO TRIMESTRAL DE CN#					
#Venta de coches#	#ventas al por menor#
# Mensual
# Ene 85 a Ene 05
46744	NaN    
37549	NaN    
54185	NaN    
51643	NaN    
43781	NaN    
42720	NaN    
66489	NaN    
33391	NaN    
32927	NaN    
57521	NaN    
49047	NaN    
59054	NaN    
29324	NaN    
41089	NaN    
55732	NaN    
52388	NaN    
59408	NaN    
67537	NaN    
82716	NaN    
44394	NaN    
45734	NaN    
71291	NaN    
68449	NaN    
70984	NaN    
59510	NaN    
68650	NaN    
84380	NaN    
86095	NaN    
80288	NaN    
79878	NaN    
110543	NaN    
59501	NaN    
55764	NaN    
78690	NaN    
78445	NaN    
86520	NaN    
81012	NaN    
81713	NaN    
104756	NaN    
75912	NaN    
97868	NaN    
102419	NaN    
106741	NaN    
77493	NaN    
69431	NaN    
86576	NaN    
89089	NaN    
96210	NaN    
86803	NaN    
97215	NaN    
109727	NaN    
94817	NaN    
100780	NaN    
117883	NaN    
113877	NaN    
75610	NaN    
72586	NaN    
94609	NaN    
91543	NaN    
93923	NaN    
84556	NaN    
84008	NaN    
104633	NaN    
88956	NaN    
94306	NaN    
92311	NaN    
106009	NaN    
73744	NaN    
50630	NaN    
75103	NaN    
69007	NaN    
64907	NaN    
65552	NaN    
67861	NaN    
75468	NaN    
80526	NaN    
81963	NaN    
82783	NaN    
100196	NaN    
58799	NaN    
55603	NaN    
78833	NaN    
69033	NaN    
70366	NaN    
85388	NaN    
87042	NaN    
97057	NaN    
91708	NaN    
83994	NaN    
94383	NaN    
108809	NaN    
49747	NaN    
59442	NaN    
71959	NaN    
67258	NaN    
85257	NaN    
41261	NaN    
58329	NaN    
74220	NaN    
64952	NaN    
66604	NaN    
74385	NaN    
87226	NaN    
47580	NaN    
49590	NaN    
55281	NaN    
55469	NaN    
69004	NaN    
52895	NaN    
61962	NaN    
85921	NaN    
69939	NaN    
87627	NaN    
95617	NaN    
102184	NaN    
64112	NaN    
63152	NaN    
69167	NaN    
65902	NaN    
91204	NaN    
51560	74.5   
64226	60.9   
93162	70.1   
72457	68     
79981	72.34  
101490	73.6   
74138	77.74  
50590	68.85  
49646	74.99  
59731	74.25  
62432	72.07  
74956	95.9   
56179	77.44  
72964	65.48  
96087	70.47  
74570	69.98  
82716	72.54  
79751	72.9   
103510	80.12  
51198	70.35  
58887	74.7   
78377	78.435 
70332	72.9   
86357	96.23  
68126	80.39  
73798	64.93  
97643	70.09  
89630	73.8   
87990	75.5   
93867	74.02  
119551	82.62  
59339	71.79  
63397	77.86  
87943	81.3   
77652	74.96  
97447	103.1  
71844	85.97  
87054	68.17  
112099	74.69  
100968	77.58  
99559	81.48  
116825	81.95  
137966	90.72  
65863	76.55  
72632	83.47  
105342	87.97  
102690	79.47  
119688	108.31 
82247	87.18  
108175	71.07  
148330	82.03  
113106	79.87  
123534	83.28  
146819	86.32  
160737	96.25  
82910	80.76  
89780	87.31  
112676	91.02  
115778	86.54  
122154	116.29 
95880	92.78  
121616	80.44  
146921	88.475 
123601	86.69  
127261	90.47  
145024	92.42  
150755	98.52  
84708	86.07  
85637	91.65  
99635	93.93  
103601	91.92  
96617	119.79 
91723	101.51 
116125	84.46  
148031	95.19  
122310	91.84  
136136	97     
150414	101.05 
162780	105.33 
88615	95.2   
84269	95.29  
111486	101.12 
106677	96.905 
107007	127.14 
95941	105.3  
105272	89.36  
127218	98.915 
112838	100.74 
127692	104.12 
125724	103.35 
152938	112.64 
79650	99.112 
80809	102.53 
111811	109.27 
97469	104.314
114515	130.675
90541	111.756
98254	94.793 
120753	103.51 
120406	106.395
120649	110.321
138243	109.741
161545	118.9  
82407	101.837
92528	109.393
120819	117.103
109711	107.974
126249	140.221
98869	118.45 
120428	101.291
154802	110.847
125221	113.011
131373	113.824
158913	117.796
167689	126.487
88405	104.457
98309	113.585
118780	120.098
124409	117.127
130291	148.102
104874	NaN       
